,CityCode,Name,CountryCode,AirportCode,LocationType,Longitude,Latitude
0,AAL,Aalborg,DK,AAL,Airport,9.8492,57.0928
1,AAR,Aarhus,DK,AAR,Airport,10.6194,56.3039
2,ABE,Allentown/Bethl,US,ABE,Airport,-75.4408,40.6522
3,ABJ,Abidjan,CI,ABJ,Airport,-3.9264,5.2614
4,ABK,Kabri Dehar,ET,ABK,Airport,44.2553,6.7339
5,ABQ,"Albuquerque International, NM",US,ABQ,Airport,-106.6094,35.0406
6,ABV,Abuja International,NG,ABV,Airport,7.2631,9.0067
7,ABZ,Aberdeen,GB,ABZ,Airport,-2.2003,57.2042
8,ACA,Acapulco - Alvarez International,MX,ACA,Airport,-99.7539,16.7569
9,ACC,Accra - Kotoka International,GH,ACC,Airport,-0.166666667,5.605277778
10,ACE,Lanzarote,ES,ACE,Airport,-13.6053,28.9456
11,ACK,Nantucket,US,ACK,Airport,-70.0603,41.2531
12,ACT,Waco Municipal,US,ACT,Airport,-97.2306,31.6114
13,ACV,Arcata/Eureka,US,ACV,Airport,-124.1086,40.9781
14,AIY,Atlantic City - International,US,ACY,Airport,-74.5772,39.4575
15,ADA,Adana,TR,ADA,Airport,35.2803,36.9822
16,IZM,Izmir - Adnan Menderes,TR,ADB,Airport,27.1569,38.2925
17,ADD,Addis Ababa,ET,ADD,Airport,38.7994,8.9778
18,ADK,Adak Island,US,ADK,Airport,-176.6483,51.8811
19,ADL,Adelaide,AU,ADL,Airport,138.5306,-34.945
20,ADQ,Kodiak - Kodiak Airport,US,ADQ,Airport,-152.4939,57.75
21,ADZ,San Andres Island,CO,ADZ,Airport,-81.7111,12.5836
22,BUE,Buenos Aires - Jorge Newbery,AR,AEP,Airport,-58.4164,-34.5589
23,AER,Sochi,RU,AER,Airport,39.9567,43.45
24,AES,Alesund,NO,AES,Airport,6.1103,62.5603
25,AEX,Alexandria Louisiana,US,AEX,Airport,-92.5497,31.3275
26,AGA,Agadir,MA,AGA,Airport,-9.4131,30.325
27,AGH,Helsingborg - Angelholm,SE,AGH,Airport,12.8472,56.2961
28,AGP,Malaga,ES,AGP,Airport,-4.4992,36.675
29,AUG,"Augusta, Georgia",US,AGS,Airport,-81.9644,33.37
30,AGT,Ciudad del Este - Alejo Garcia,PY,AGT,Airport,-54.8436,-25.4556
31,AGU,Aguascalientes,MX,AGU,Airport,-102.3178,21.7056
32,AHB,Abha,SA,AHB,Airport,42.6567,18.2403
33,AHO,Alghero,IT,AHO,Airport,8.2897,40.6303
34,AIA,Alliance,US,AIA,Airport,-102.8078,42.0519
35,AJA,Ajaccio,FR,AJA,Airport,8.8025,41.9239
36,AJI,AGRI,TR,AJI,Airport,43.0264,39.6539
37,AJL,Aizawl,IN,AJL,Airport,92.6203,23.8389
38,AJR,ARVIDSJAUR,SE,AJR,Airport,19.2819,65.5903
39,AJU,Aracaju,BR,AJU,Airport,-37.0703,-10.9839
40,AKJ,Asahikawa,JP,AKJ,Airport,142.4475,43.6708
41,AKL,Auckland - International,NZ,AKL,Airport,174.7917,-37.0097
42,ALA,Almaty,KZ,ALA,Airport,77.0422,43.3533
43,ALB,"Albany, NY",US,ALB,Airport,-73.8017,42.7483
44,ALC,Alicante,ES,ALC,Airport,-0.5581,38.2822
45,ALF,Alta,NO,ALF,Airport,23.3717,69.9761
46,ALG,Algiers,DZ,ALG,Airport,3.2147,36.6942
47,ALS,Alamosa,US,ALS,Airport,-105.8664,37.4375
48,ALW,Walla Walla,US,ALW,Airport,-118.2878,46.095
49,AMA,Amarillo - International,US,AMA,Airport,-101.7058,35.2194
50,AMD,Ahmedabad,IN,AMD,Airport,72.6347,23.0772
51,AMH,Arba Minch,ET,AMH,Airport,37.5906,6.0394
52,AMI,Mataram,ID,AMI,Airport,116.0947,-8.5608
53,AMM,Amman - Queen Alia International,JO,AMM,Airport,35.9933,31.7225
54,AMS,Amsterdam - Schiphol,NL,AMS,Airport,4.7642,52.3081
55,ANC,Anchorage - International,US,ANC,Airport,-149.9964,61.1744
56,ANF,Antofagasta,CL,ANF,Airport,-70.445,-23.4444
57,ANU,Antigua - V.C. Bird International,AG,ANU,Airport,-61.7928,17.1367
58,AOI,Ancona,IT,AOI,Airport,13.3603,43.6167
59,AOJ,AOMORICA,JP,AOJ,Airport,140.6908,40.7347
60,AOK,Karpathos,GR,AOK,Airport,27.1461,35.4214
61,AOR,Alor Setar,MY,AOR,Airport,100.4008,6.1944
62,APL,Nampula,MZ,APL,Airport,39.2817,-15.1056
63,APW,APIA FALEOLO APT,WS,APW,Airport,-171.9972,-13.8297
64,AQJ,AQABA KING HUSSEIN INTERNATIONAL,JO,AQJ,Airport,35.0181,29.6117
65,AQP,AREQUIPA RODRIGUEZ BALLON INTL,PE,AQP,Airport,-71.5725,-16.3408
66,ARH,Arkhangelsk,RU,ARH,Airport,40.7167,64.6003
67,ARI,Arica,CL,ARI,Airport,-70.3386,-18.3486
68,STO,Stockholm,SE,ARN,Airport,17.9186,59.6519
69,ASB,Ashgabad - S. Turkmenbashy Int'l,TM,ASB,Airport,58.3608,37.9869
70,ASE,"Aspen, CO",US,ASE,Airport,-106.8672,39.2192
71,ASF,Astrakhan,RU,ASF,Airport,48.0064,46.2833
72,ASM,Asmara,ER,ASM,Airport,38.9106,15.2919
73,ASO,Asosa,ET,ASO,Airport,34.5864,10.0186
