AircraftCode,AirlineEquipCode,AircraftName
100,F100,Fokker 100
141,B461,BAE Systems 146-100 Passenger
142,B462,BAE Systems 146-200 Passenger
143,B463,BAE Systems 146-300 Passenger
14X,B461,BAE Systems 146-100 Freighter
14Y,B462,BAE Systems 146-200 Freighter
14Z,B463,BAE Systems 146-300 Freighter
221,BCS1,Airbus A220-100
223,BCS3,Airbus A220-300
290,E290,E190-E2
295,E295,E195-E2
312,A310,Airbus A310-200 Passenger
313,A310,Airbus A310-300 Passenger
318,A318,Airbus A318
319,A319,Airbus A319
31A,A318,Airbus A318 (sharklets)
31B,A319,Airbus A319 (sharklets)
31N,A19N,Airbus A319neo
31X,A310,Airbus A310-200 Freighter
31Y,A310,Airbus A310-300 Freighter
320,A320,Airbus A320
321,A321,Airbus A321
32A,A320,Airbus A320 (sharklets)
32B,A321,Airbus A321 (sharklets)
32F,A320,Airbus A320 Freighter
32N,A20N,Airbus A320neo
32Q,A21N,Airbus A321neo
32X,A321,Airbus A321 Freighter
332,A332,Airbus A330-200
333,A333,Airbus A330-300
33X,A332,Airbus A330-200 Freighter
342,A342,Airbus A340-200
343,A343,Airbus A340-300
345,A345,Airbus A340-500
346,A346,Airbus A340-600
351,ZZZZ,Airbus A350-1000
358,ZZZZ,Airbus A350-800
359,A359,Airbus A350-900
388,A388,Airbus A380-800 Passenger
38F,A388,Airbus A380-800F Freighter
703,B703,Boeing 707-320B / 320C Passenger
70F,B703,Boeing 707-320B / 320C Freighter
70M,B703,Boeing 707-320B / 320C Mixed Configuration
717,B712,Boeing 717-200
721,B721,Boeing 727-100 Passenger
722,B722,Boeing 727-200 Passenger
72B,B721,Boeing 727-100 Mixed Configuration
72C,B722,Boeing 727-200 Mixed Configuration
72W,B722,Boeing 727-200 (winglets) Passenger
72X,B721,Boeing 727-100 Freighter
72Y,B722,Boeing 727-200 Freighter
731,B731,Boeing 737-100 Passenger
732,B732,Boeing 737-200 Passenger
733,B733,Boeing 737-300 Passenger
734,B734,Boeing 737-400 Passenger
735,B735,Boeing 737-500 Passenger
736,B736,Boeing 737-600 Passenger
738,B738,Boeing 737-800 Passenger
739,B739,Boeing 737-900 Passenger
73C,B733,Boeing 737-300 (winglets) Passenger
73E,B735,Boeing 737-500 (winglets) Passenger
73G,B737,Boeing 737-700 Passenger
73H,B738,Boeing 737-800 (winglets) Passenger/BBJ2
73J,B739,Boeing 737-900 (winglets) Passenger/BBJ3
73L,B732,Boeing 737-200 Mixed Configuration
73N,B733,Boeing 737-300 Mixed Configuration
73P,B734,Boeing 737-400 Freighter
73Q,B734,Boeing 737-400 Mixed Configuration
73R,B737,Boeing 737-700 Mixed Configuration/BBJC
73S,B737,Boeing 737-700 Freighter
73W,B737,Boeing 737-700 (winglets) Passenger/BBJ1
73X,B732,Boeing 737-200 Freighter
73Y,B733,Boeing 737-300 Freighter
741,B741,Boeing 747-100 Passenger
742,B742,Boeing 747-200 Passenger
743,B743,Boeing 747-300 / 747-100/200 SUD Passenger
744,B744,Boeing 747-400 Passenger
748,,
