AirlineID,AirlineID_ICAO,AirlineName
0A,GNT,Amber Air
0B,BMS,Blue Air
0D,DWT,Darwin Airline Sa
0J,PJZ,Premium Jet Ag
0K,KRT,Aircompany Kokshetau
0P,PPC,Palau Asia Pacific Air Inc.
0S,SEJ,Spicejet
0V,VFC,Vasco
0W,WCR,West Caribbean Costa Rica S.A.
1A,AGT,Amadeus Global Travel Distribution S.A.
1I,EJA,Netjets
1L,OSY,Open Skies Consultative Commission (Oscc)
1P,WSP,Worldspan (Atlanta_ Ga)
1S,SBG,Sabre_ Inc. (Southlake_ Tx)
1X,,Branson Airexpress
2A,,Deutsche Bahn AG
2B,AWT,Albawings
2C,,Sncf
2D,DYA,Dynamic International Airways
2E,,Smokey Bay Air
2F,FAV,Fair Aviation
2G,AGU,Angara Airlines
2I,SRU,Star Peru
2J,VBW,Air Burkina
2K,GLG,Avianca Ecuador
2L,OAW,Helvetic Airways
2M,MYD,Maya Island Air
2N,NTJ,Nextjet
2O,,Island Air Service
2P,GAP,Pal Express
2Q,SNC,Air Cargo Carriers
2R,,Via Rail Canada
2S,,Air Carnival
2T,TUX,Tulpar Air Service
2U,,Sun Dor International Airlines
2V,,Amtrak
2W,,Multiple Solutions
2Y,MYU,My Indo Airlines
2Z,PTB,Passaredo Transportes Aereos
3A,,Chu Kong Passenger Transport Co Ltd.
3B,NTB,Binter Cabo Verde
3C,CVA,Air Chathams
3D,DNM,Denim Air
3E,WBR,Air Choice One
3F,,Pacific Airways Inc
3G,CXM,Asia Cargo Express
3H,AIE,Air Inuit
3J,JBW,Jubba Airways
3K,JSA,Jetstar Asia
3L,ISK,Intersky Luftfahrt Gmbh
3M,SIL,Silver Airways
3N,URG,Air Urga
3O,MAC,Air Arabia Maroc
3P,,Air Philip
3Q,,Kc International Airlines
3R,RGR,Avior Regional
3S,BOX,AeroLogic
3T,TRQ,Tarco Air
3U,CSC,Sichuan Airlines
3V,TAY,Asl Airlines Belgium
3W,MWI,Malawian Airlines
3X,,Premier Trans Aire
3Y,,Baseops International Inc.
3Z,TVP,Travel Service Poland
4A,DYN,Aerodynamics
4B,TUP,Aviastar-Tu
4C,ARE,Latam Airlines Colombia
4D,,Air Sinai
4E,,Stabo Air
4F,ECE,Air-City
4G,GZP,Gazpromavia
4H,LBW,Albatros Airways
4I,IZM,Izair
4J,NWZ,Nationwide Airlines (Zambia) Limited
4K,KBA,Kenn Borek Air
4L,LAU,Lineas Aereas Suramericanas
4M,DSM,Latam Airlines Argentina
4N,ANT,Air North
4O,AIJ,Interjet
4P,,Regional Sky
4Q,SFW,Safi Airways
4R,,Renfe Viajeros
4S,OLC,Solar Cargo
4T,BHP,Belair Airlines Ag
4U,GWI,Germanwings
4V,BVI,Bvi Airways
4W,WAV,Warbelows Air Ventures
4X,,Mercury World Cargo
4Y,OCN,Discover Airlines
4Y,OCN,Eurowings Discover
4Y,BGA,
4Z,LNK,Airlink
5A,AIP,Alpine Air
5B,BSX,Bassaka Air
5C,NRR,Nature Air
5D,SLI,Aeromexico Connect
5E,JTM,East Coast Flight Services Inc
5F,FIA,Flyone
5G,CUO,Aerocuahonte
5H,FFV,Fly540
5H,FFV,Fly540
5I,,Alsa Grupo Slu
5J,CEB,Cebu Pacific Air
5K,HFY,Hi Fly
5L,RSU,Aerosur_ Compania Boliviana De Transporte Aereo Privado S.A.
5M,MNT,Montserrat Airways
5N,AUL,Nordavia - Regional Airlines
5O,FPO,Asl Airlines France
5P,LLX,Small Planet Airlines (Germany)
5Q,BEA,Best Aviation Ltd
5R,RUC,Rutaca
5S,GAK,Global Aviation Services
5T,MPE,Canadian North
5U,TGU,Tag
5V,VTS,Everts Air Alaska
5W,,Westbahn
5X,UPS,Ups Airlines
5Y,GTI,Atlas Air
5Z,KEM,Cemair
6A,CHP,Consorcio Aviaxsa_ S.A. De C.V.
6B,BLX,Tuifly Nordic Ab
6C,,Air Timor S. A.
6D,TVQ,Travel Service Slovakia
6E,IGO,Indigo
6F,PRW,Primera Air Nordic
6G,RLX,Go2sky
6H,ISR,Israir
6I,MMD,Air Alsie A/S
6J,SNJ,Solaseed Air
6K,RIT,Asian Spirit
6L,,Aklak Air
6M,MXM,Maximus Airlines
6N,NIN,Niger Airlines
6O,OBS,Orbest
6P,ISG,Club Air S.P.A.
6Q,SAW,Cham Wings
6R,TNO,Aerounion
6S,SGQ,Saudigulf
6T,AMY,Air Mandalay
6U,UKR,Air Ukraine
6V,,Avanza
6W,SOV,Saratov Airlines
6Y,ART,Smartlynx
6Z,EAK,Euro-Asia Air
7A,XRC,Express Air Cargo
7B,KJC,Krasnojarsky Airlines
7C,JJA,Jeju Air
7D,UDC,Donbassaero_ Utility Enterprise Airline Company
7E,AWU,Sylt Air
7F,FAB,First Air
7G,SFJ,Star Flyer
7H,RVF,Ravn Alaska
7I,INC,Inselair
7J,TJK,Tajik Air
7K,KGL,Aircompany Kogalymavia Ltd
7L,AZG,Silk Way West Airlines
7M,MYI,Mayair
7N,PWD,Pawa Dominicana
7O,TVL,Travel Service Hungary
7P,PST,Air Panama
7Q,MNU,Elite Airways
7R,RLU,Rusline
7S,RYA,Ryan Air
7T,RTM,Dhl Ecuador
7U,,Commercial Aviation Services Llc
7V,FDR,Federal Airlines
7W,WRC,Windrose Airlines
7Y,MYP,Mann Yadanarpon Airlines
7Z,AJI,Ameristar Charters
8A,BMM,Atlas Blue
8B,TNU,Transnusa Air Services
8C,ATN,Ati - Air Transport International
8D,EXV,Fitsair
8E,EFX,Easy Fly Express
8F,CAD,Cardig Air
8G,MFG,Fly Mid Africa
8H,BGH,Bh Air
8I,MYW,My Way Airlines Srl
8J,ECO,Eco Jet
8K,KMI,K-Mile Air
8L,LKE,Lucky Air
8M,MMA,Myanmar Airways International
8N,REG,Regional Air Services
8O,WCG,West Coast Airlines Limited
8P,PCO,Pacific Coastal Airlines
8Q,OHY,Onurair
8R,EDW,Edelweiss Air Ag
8S,,Turbojet
8T,,Air Tindi
8U,AAW,Afriqiyah Airways
8V,WRT,Wright Air Service
8W,EDR,Fly Allways
8Y,AAV,Astro Air International
8Z,,Congo Airways
9A,EZX,Eaglexpress Air Charter
9B,,Accesrail Inc.
9C,CQH,Spring Airlines
9D,THE,Toumai Air Tchad
9E,EDV,Endeavor Air
9F,,Eurostar International
9G,,Airport Express Rail
9H,CGN,Air Changan
9I,LLR,Alliance Air
9J,DAN,Dana Air
9K,KAP,Cape Air
9L,,Airtanker Services Limited
9M,GLR,Central Mountain Air
9N,TOS,Tropic Air
9P,JAD,Air Arabia Jordan
9Q,CXE,Caicos Express Airways
9R,NSE,Satena
9S,SOO,Southern Air
9T,,Act Airlines Inc
9U,MLD,Air Moldova
9V,ROI,Avior Airlines
9W,JAI,Jet Airways
9X,FDY,Southern Airways Express
A0,MCJ,Avianca Argentina
A2,AZI,Astra Airlines
A3,AEE,Aegean Airlines
A4,,Azimuth
A5,HOP,Hop!
A6,OTC,Hongtu Airlines
A7,CFV,Calafia Airlines
A8,XAU,Aerolink Uganda
A9,TGZ,Airzena - Georgian Airways
AA,AAL,American Airlines
AB,BER,Air Berlin_ Inc.
AC,ACA,Air Canada
AD,AZU,Azul
AE,MDA,Mandarin Airlines
AF,AFR,Air France
AG,GHN,Air Ghana
AH,DAH,Air Algerie
AI,AIC,Air India
AJ,,Aztec Airways
AK,AXM,Airasia
AL,ALD,Air Leisure
AM,AMX,Aeromexico
AN,WSN,Advanced Air Llc (Hawthorne)
AO,,Air Juan
AP,LAV,Alba Star
AQ,JYH,9 Air
AR,ARG,Aerolineas Argentinas
AS,ASA,Alaska Airlines
AT,RAM,Royal Air Maroc
ATV,ATV,Avanti Air Gmbh _ Co. Kg_ Burbach
AU,AUT,Austral Lineas Aereas
AV,AVA,Avianca
AW,VNE,Venezolana
AWZ,AWZ,Airwest
AX,LOF,Trans States Airlines
AY,FIN,Finnair
AZ,AZA,Alitalia
B0,DJT,La Compagnie
B2,BRU,Belavia
B3,BTN,Bhutan Airlines
B4,TAN,Zanair
B5,EXZ,Fly-Sax
B6,JBU,Jetblue Airways
B7,UIA,Uni Air
B8,ERT,Eritrean Airlines
B9,IRB,Iran Airtours
BA,BAW,British Airways
BAE,BAE,Bae Systems (Corporate Air Travel) Ltd
BB,SBS,Seaborne Airlines
BC,SKY,Skymark Airlines
BCS,BCS,European Air Transport
BD,BYC,Cambodia Bayon Airlines
BE,BEE,Flybe
BF,FBU,French Bee
BG,BBC,Biman Bangladesh Airlines
BH,BML,Bismillah Airlines
BI,RBA,Royal Brunei Airlines
BID,BID,Binair Gmbh_ Munchen
BJ,LBT,Nouvelair
BK,OKA,Okay Airways
BL,PIC,Jetstar Pacific
BM,BMR,Bmi Regional
BN,,Air Inter Transport Co. Ltd
BO,BBD,Bluebird Nordic
BP,BOT,Air Botswana
BQ,ROM,Aeromar_ C. Por A.
BR,EVA,Eva Air
BS,UBG,Us-Bangla Airlines
BSC,BSC,Bistair - Fez_ Bishkek
BT,BTI,airBaltic
BU,,Caa - Compagnie Africaine Daviation
BUC,BUC,Bulgarian Air Charter
BV,BPA,Blue Panorama Airlines
BW,BWA,Caribbean Airlines
BW,GAF,German Air Force
BX,ABL,Air Busan
BY,TOM,Tui Airways
BZ,BDA,Blue Dart Aviation
C2,CEL,Ceiba Intercontinental
C3,TDR,Trade Air
C4,CGK,Click Airways
C5,UCA,Commutair
C6,,Canjet Airlines
C7,CIN,Cinnamon Air
C8,ICV,Cargolux Italia
C9,BIC,Alphaland Aviation
CA,CCA,Air China
CAI,CAI,Turistik Hava Tasimacilik A.S.
CB,,Trans Caribbean Air
CC,OMT,Cm Airlines
CD,CND,Corendon Dutch Airlines
CE,CLG,Chalair
CF,CYZ,China Postal Airlines
CG,TOK,Png Air
CH,BMJ,Bemidji Aviation
CI,CAL,China Airlines
CJ,CFE,Ba Cityflyer
CK,CKK,China Cargo Airlines
CL,CLH,Lufthansa Cityline
CM,CMP,Copa Airlines
CN,GDC,Grand China Air
CO,FCB,Cobalt Air
CP,CPZ,Compass Airlines
CQ,CSV,Coastal Aviation
CS,,Comlux Aruba Nv
CT,CYL,Alitalia Cityliner
CU,CUB,Cubana
CV,CLX,Cargolux
CW,CCC,Air Cargo Global
CX,CPA,Cathay Pacific
CY,CYP,Cyprus Airways
CZ,CSN,China Southern Airlines
D0,DHK,Dhl Air
D2,SSF,Severstal Aircompany
D3,,Daallo Airlines
D4,DAT,Dart Airlines
D5,DAE,Dhl Aero Expreso
D7,XAX,Airasia X
D8,IBK,Norwegian Air International
D9,,Dena Airways
DB,BZH,Britair S.A.
DC,BRX,Braathens Regional Airways
DCS,DCS,Daimler Chrysler Aviation Gmbh_ Stuttgart
DD,NOK,Nok Air
DE,CFG,Condor
DF,,Condor Berlin
DG,SRQ,Cebgo
DH,NAN,Norwegian Air Norway
DI,NRS,Norwegian Air Uk
DJ,WAJ,Airasia Japan
DK,VKG,Thomas Cook Airlines Scandinavia
DL,DAL,Delta Air Lines
DM,,Anda Air Limited
DN,,Norwegian Air Argentina
DNV,DNV,Aeroflot-Don_ Joint-Stock Company
DO,RVL,Airvallee S.P.A.-Services Aeriens Du Val D_aoste
DP,PBD,Pobeda
DQ,CXT,Coastal Air Transport (Christiansted_ St. Croix)
DR,RLH,Ruili Airlines
