,AirlineID,Name
0,0,AirOneAtlantic
1,0A,AmberAir
2,0B,BlueAir
3,0D,DarwinAirline
4,0J,Jetclub
5,0X,CopenhagenExpress
6,1,BobbAirFreight
7,10,CanadianWorld
8,11,TUIfly(X3)
9,12,12North
10,13,EasternAtlanticVirtualAirlines
11,1A,AmadeusGlobalTravelDistribution
12,1B,AbacusInternational
13,1C,OneChina
14,1D,RadixxSolutionsInternational
15,1E,TravelskyTechnology
16,1F,CBAirwaysUK(InterligingFlights)
17,1G,GalileoInternational
18,1H,HellenicAirways
19,1I,SkyTrekInternationalAirlines
20,1K,Sutra
21,1L,OpenSkiesConsultativeCommission
22,1M,JSCTransportAutomatedInformationSystems
23,1N,Navitaire
24,1P,Worldspan
25,1Q,Sirena
26,1R,HainanPhoenixInformationSystems
27,1S,Sabre
28,1T,1TimeAirline
29,1U,PolyotSirena
30,1Z,SabrePacific
31,20,AirSalone
32,24,EuroJet
33,2A,DeutscheBahn
34,2B,Aerocondor
35,2C,SNCF
36,2D,AeroVIP(2D)
37,2F,FrontierFlyingService
38,2G,SanJuanAirlines
39,2H,Thalys
40,2I,StarPeru(2I)
41,2J,AirBurkina
42,2K,AerolineasGalapagos(Aerogal)
43,2L,HelveticAirways
44,2M,MoldavianAirlines
45,2N,NextJet
46,2O,AirSalone
47,2P,AirPhilippines
48,2Q,AirCargoCarriers
49,2R,VIARailCanada
50,2S,StarEquatorialAirlines
51,2T,HaitiAmbassadorAirlines
52,2U,AirGuineeExpress
53,2W,WelcomeAir
54,2X,RegionaliaUruguay
55,2Z,ChanganAirlines
56,3B,JobAir
57,3C,RegionsAir
58,3E,AirChoiceOne
59,3F,FlyColombia(InterligingFlights)
60,3G,Atlant-SoyuzAirlines
61,3I,AirCometChile
62,3J,Zip
63,3K,JetstarAsiaAirways
64,3L,Intersky
65,3N,AirUrga
66,3O,AirArabiaMaroc
67,3P,TiaraAir
68,3Q,YunnanAirlines
69,3R,MoskoviaAirlines
70,3S,AirAntillesExpress
71,3T,TuranAir
72,3U,SichuanAirlines
73,3V,3ValleysAirlines
74,3W,MalawianAirlines
75,4,AntrakAir
76,47,88
77,4A,AirKiribati
78,4C,Aires
79,4D,AirSinai
80,4F,AirCity
81,4G,Gazpromavia
82,4H,UnitedAirways
83,4K,AskariAviation
84,4L,Euroline
85,4M,LANArgentina
86,4N,AirNorthCharter-Canada
87,4O,Interjet(ABCAerolineas)
88,4P,BusinessAviation
89,4Q,SafiAirlines
90,4R,HamburgInternational
91,4S,FinalairCongo
92,4T,BelairAirlines
93,4U,Germanwings
94,4X,RedJetMexico
95,4Y,AirbusFrance
96,4Z,Airlink(SAA)
97,5A,AlpineAirExpress
98,5C,CALCargoAirLines
