AirportCode,Latitude,Longitude,CityCode,CountryCode,LocationType,AirportName,UtcOffset,TimeZoneId
AAL,57.0928,9.8492,AAL,DK,Airport,Aalborg,2.0,Europe/Copenhagen
AAR,56.3039,10.6194,AAR,DK,Airport,Aarhus,2.0,Europe/Copenhagen
ABE,40.6522,-75.4408,ABE,US,Airport,Allentown/Bethl,-4.0,America/New_York
ABJ,5.2614,-3.9264,ABJ,CI,Airport,Abidjan,0.0,Africa/Abidjan
ABK,6.7339,44.2553,ABK,ET,Airport,Kabri Dehar,3.0,Africa/Addis_Ababa
ABQ,35.0406,-106.6094,ABQ,US,Airport,"Albuquerque International, NM",-6.0,America/Denver
ABV,9.0067,7.2631,ABV,NG,Airport,Abuja International,1.0,Africa/Lagos
ABZ,57.2042,-2.2003,ABZ,GB,Airport,Aberdeen,1.0,Europe/London
ACA,16.7569,-99.7539,ACA,MX,Airport,Acapulco - Alvarez International,-5.0,America/Mexico_City
ACC,5.605277778,-0.166666667,ACC,GH,Airport,Accra - Kotoka International,0.0,Africa/Accra
ACE,28.9456,-13.6053,ACE,ES,Airport,Lanzarote,1.0,Atlantic/Canary
ACK,41.2531,-70.0603,ACK,US,Airport,Nantucket,-4.0,America/New_York
ACT,31.6114,-97.2306,ACT,US,Airport,Waco Municipal,-5.0,America/Chicago
ACV,40.9781,-124.1086,ACV,US,Airport,Arcata/Eureka,-7.0,America/Los_Angeles
ACY,39.4575,-74.5772,AIY,US,Airport,Atlantic City - International,-4.0,America/New_York
ADA,36.9822,35.2803,ADA,TR,Airport,Adana,3.0,Europe/Istanbul
ADB,38.2925,27.1569,IZM,TR,Airport,Izmir - Adnan Menderes,3.0,Europe/Istanbul
ADD,8.9778,38.7994,ADD,ET,Airport,Addis Ababa,3.0,Africa/Addis_Ababa
ADK,51.8811,-176.6483,ADK,US,Airport,Adak Island,-9.0,America/Adak
ADL,-34.945,138.5306,ADL,AU,Airport,Adelaide,9.5,Australia/Adelaide
ADQ,57.75,-152.4939,ADQ,US,Airport,Kodiak - Kodiak Airport,-8.0,America/Anchorage
ADZ,12.5836,-81.7111,ADZ,CO,Airport,San Andres Island,-5.0,America/Bogota
AEP,-34.5589,-58.4164,BUE,AR,Airport,Buenos Aires - Jorge Newbery,-3.0,America/Argentina/Buenos_Aires
AER,43.45,39.9567,AER,RU,Airport,Sochi,3.0,Europe/Moscow
AES,62.5603,6.1103,AES,NO,Airport,Alesund,2.0,Europe/Oslo
AEX,31.3275,-92.5497,AEX,US,Airport,Alexandria Louisiana,-5.0,America/Chicago
AGA,30.325,-9.4131,AGA,MA,Airport,Agadir,1.0,Africa/Casablanca
AGH,56.2961,12.8472,AGH,SE,Airport,Helsingborg - Angelholm,2.0,Europe/Stockholm
AGP,36.675,-4.4992,AGP,ES,Airport,Malaga,2.0,Europe/Madrid
AGS,33.37,-81.9644,AUG,US,Airport,"Augusta, Georgia",-4.0,America/New_York
AGT,-25.4556,-54.8436,AGT,PY,Airport,Ciudad del Este - Alejo Garcia,-4.0,America/Asuncion
AGU,21.7056,-102.3178,AGU,MX,Airport,Aguascalientes,-5.0,America/Mexico_City
AHB,18.2403,42.6567,AHB,SA,Airport,Abha,3.0,Asia/Riyadh
AHO,40.6303,8.2897,AHO,IT,Airport,Alghero,2.0,Europe/Rome
AIA,42.0519,-102.8078,AIA,US,Airport,Alliance,-6.0,America/Denver
AJA,41.9239,8.8025,AJA,FR,Airport,Ajaccio,2.0,Europe/Paris
AJI,39.6539,43.0264,AJI,TR,Airport,AGRI,3.0,Europe/Istanbul
