CityCode,CountryCode,Latitude,Longitude,cityName
AAA,PF,-16.645,-144.4916667,Anaa
AAB,AU,,,Arrabury
AAC,EG,31.07333333,33.83583333,Al Arish
AAE,DZ,36.82222222,7.809444444,Annaba
AAF,US,29.7275,-84.97277778,Apalachicola
AAH,DE,,,Aachen/Maastricht
AAI,BR,,,Arraias
AAJ,SR,,,Awaradam
AAK,KI,,,Aranuka
AAL,DK,57.092778,9.849167,Aalborg
AAM,ZA,,,Mala Mala
AAN,AE,24.26166667,55.60916667,Al Ain
AAO,VE,37.7475,-96.77888889,Anaco
AAQ,RU,45.00166667,37.34833333,Anapa
AAR,DK,56.304167,10.619167,Aarhus
AAS,ID,37.35805556,-84.69083333,Apalapsili
AAT,CN,58.42833333,12.71111111,Altay
AAU,WS,,,Asau
AAV,PH,,,Alah
AAX,BR,-18.43944444,-45.03444444,Araxa
AAY,YE,16.19333333,52.17416667,Al Ghaydah
ABA,RU,53.74166667,91.385,Abakan
ABD,IR,30.37111111,48.22833333,Abadan
ABE,US,40.65222222,-74.55972222,Allentown/Bethl
ABF,KI,,,Abaiang
ABG,AU,,,Abingdon
ABH,AU,-22.35333333,146.5833333,Alpha
ABI,US,32.41111111,-98.31833333,Abilene
ABJ,CI,5.261386,-3.926294,Abidjan
ABK,ET,6.730555556,44.22861111,Kabri Dar
ABL,US,,,Ambler
ABM,AU,-9.049166667,142.4594444,Bamaga
ABN,SR,,,Albina
ABO,CI,,,Aboisso
ABP,PG,,,Atkamba
ABQ,US,35.049492,-106.625122,Albuquerque
ABR,US,45.44888889,-97.57833333,Aberdeen
ABS,EG,22.37583333,31.61166667,Abu Simbel
ABT,SA,20.29583333,41.63388889,Al-Baha
ABU,ID,,,Atambua
ABV,NG,9.006667,7.263056,Abuja
ABW,PG,,,Abau
ABX,AU,-35.93222222,146.9580556,Albury
ABY,US,31.53527778,-83.80555556,Albany
ABZ,GB,57.201944,-2.197778,Aberdeen
ACA,MX,16.75694444,-98.24638889,Acapulco
ACB,US,44.98833333,-84.80166667,Bellaire
ACC,GH,5.605186,-0.166786,Accra
ACD,CO,,,Acandi
ACE,ES,28.94527778,-12.395,Lanzarote
ACH,CH,47.485,9.561944444,Altenrhein
ACI,GB,,,Alderney
ACK,US,41.25305556,-69.93972222,Nantucket
ACL,CO,,,Aguaclara
ACM,CO,,,Arica
ACN,MX,29.335,-100.8966667,Ciudad Acuna
ACO,CH,,,Ascona
ACR,CO,-0.599444444,-71.60194444,Araracuara
ACS,RU,,,Achinsk
ACT,US,31.61111111,-96.76972222,Waco
ACU,PA,,,Achutupo
ACV,US,40.97805556,-123.8913889,Arcata/Eureka
ADA,TR,36.98194444,35.28027778,Adana
ADD,ET,8.977889,38.799319,Addis Ababa
ADE,YE,12.82888889,45.02972222,Aden
ADF,TR,37.763889,38.277778,Adiyaman
ADG,US,41.8675,-83.92277778,Adrian
ADH,RU,34.80416667,-95.32888889,Aldan
ADI,NA,-21.53333333,14.98333333,Arandis
ADK,US,51.87777778,-175.3541667,Adak Island
ADL,AU,-34.945,138.530556,Adelaide
ADM,US,34.30416667,-96.97944444,Ardmore
ADN,CO,,,Andes
ADO,AU,,,Andamooka
ADP,LK,8.3,80.47861111,Anuradhapura
ADQ,US,57.74972222,-151.5063889,Kodiak
ADR,US,,,Andrews
ADT,US,39.83972222,-100.9577778,Ada
ADU,IR,38.32666667,48.42416667,Ardabil
ADV,GB,,,Andover
ADW,US,38.81083333,-75.13305556,Camp Springs
ADY,ZA,,,Alldays
ADZ,CO,12.58361111,-80.28888889,San Andres Island
AEA,KI,,,Abemama Atoll
AEG,ID,35.145,-105.205,Aek Godang
AEH,TD,13.84694444,20.84861111,Abecher
AEK,PG,,,Aseki
AEL,US,43.68138889,-92.63277778,Albert Lea
AEO,MR,16.71666667,-8.366666667,Aioun El Atrouss
AER,RU,43.445,39.94833333,Sochi
AES,NO,62.5625,6.119722222,Alesund
AET,US,,,Allakaket
AEX,US,,,Alexandria Louisiana
AEY,IS,65.65861111,-17.92777778,Akureyri
AFA,AR,-33.41138889,-67.59722222,San Rafael
AFD,ZA,,,Port Alfred
AFI,CO,,,Amalfi
AFL,BR,-8.133611111,-55.895,Alta Floresta
AFN,US,42.805,-71.99722222,Jaffrey
AFO,US,42.70861111,-109.0580556,Afton
AFR,PG,,,Afore
AFT,SB,,,Afutara
AFY,TR,38.73388889,30.59527778,Afyon
AGA,MA,30.325,-8.586944444,Agadir
AGD,ID,,,Anggi
AGE,DE,,,Wangerooge
AGF,FR,44.17472222,0.590555556,Agen
AGG,PG,,,Angoram
AGH,SE,56.29111111,12.855,Helsingborg
AGI,SR,,,Wageningen
AGJ,JP,26.59277778,127.2402778,Aguni
AGK,PG,,,Kagua
AGL,PG,,,Wanigela
AGM,GL,,,Angmagssalik
AGN,US,,,Angoon
AGO,US,33.22722222,-92.78305556,Magnolia
AGP,ES,36.6749,-4.499106,Malaga
AGQ,GR,38.60277778,21.35,Agrinion
AGR,IN,27.15,77.96666667,Agra
AGS,US,33.46638889,-81.96083333,Augusta
AGT,PY,-24.54444444,-53.15638889,Ciudad del Este
AGU,MX,21.70527778,-101.6822222,Aguascalientes
AGV,VE,9.553333333,-68.76277778,Acarigua
AGW,AU,,,Agnew
AGX,IN,,,Agatti Island
AGY,AU,-15.36305556,128.4513889,Argyle Downs
AGZ,ZA,-28.72083333,18.8175,Aggeneys
AHB,SA,18.24027778,42.65638889,Abha
AHC,US,40.26583333,-119.8494444,Herlong
AHH,US,45.28111111,-91.62472222,Amery
AHI,ID,,,Amahai
AHL,GY,,,Aishalton
AHN,US,33.94833333,-82.67388889,Athens
AHO,IT,40.63111111,8.288611111,Alghero
AHS,HN,,,Ahuas
AHT,US,,,Amchitka
AHU,MA,35.17972222,-2.16,Al Hoceima
AHY,MG,,,Ambatolahy
AHZ,FR,,,Alpe D'Huez
AIA,US,42.05305556,-101.1963889,Alliance
AIB,US,46.40638889,4.020833333,Anita Bay
AIC,MH,,,Airok
AID,US,40.10861111,-84.38722222,Anderson
AIE,PG,,,Aiome
AIF,BR,-21.36,-49.54694444,Assis
AIG,CF,45.15388889,-88.88944444,Yalinga
AII,DJ,,,Alisabieh
AIK,US,33.64916667,-80.315,Aiken
AIL,PA,,,Ailigandi
AIM,MH,,,Ailuk Island
AIN,US,,,Wainwright
AIO,US,,,Atlantic
AIP,MH,,,Ailinglapalap Island
AIR,BR,,,Aripuana
AIS,KI,,,Arorae Island
AIT,CK,-17.16833333,-158.2333333,Aitutaki
AIU,CK,-18.03333333,-157.875,Atiu Island
AIV,US,33.10638889,-87.80222222,Aliceville
AIY,US,39.4575,-73.42305556,Atlantic City
AIZ,US,38.09583333,-91.45055556,Kaiser/Lake Ozark
AJA,FR,41.92388889,8.8025,Ajaccio
AJF,SA,,,Al-Jouf
AJI,TR,,,Agri
AJJ,MR,19.73333333,-13.61666667,Akjoujt
AJL,IN,23.74583333,92.80277778,Aizawl
AJN,KM,-11.86916667,44.42944444,Anjouan
AJO,YE,29.785,40.09944444,Aljouf
AJR,SE,65.59027778,19.28194444,Arvidsjaur
