AirportCode,CityCode,CountryCode,LocationType,Latitude,Longitude,TimeZoneId,UtcOffset,Names
AAL,AAL,DK,Airport,57.0928,9.8492,Europe/Copenhagen,2.0,Aalborg
AAR,AAR,DK,Airport,56.3039,10.6194,Europe/Copenhagen,2.0,Aarhus
ABE,ABE,US,Airport,40.6522,-75.4408,America/New_York,-4.0,Allentown/Bethl
ABJ,ABJ,CI,Airport,5.2614,-3.9264,Africa/Abidjan,0.0,Abidjan
ABK,ABK,ET,Airport,6.7339,44.2553,Africa/Addis_Ababa,3.0,Kabri Dehar
ABQ,ABQ,US,Airport,35.0406,-106.6094,America/Denver,-6.0,"Albuquerque International, NM"
ABV,ABV,NG,Airport,9.0067,7.2631,Africa/Lagos,1.0,Abuja International
ABZ,ABZ,GB,Airport,57.2042,-2.2003,Europe/London,1.0,Aberdeen
ACA,ACA,MX,Airport,16.7569,-99.7539,America/Mexico_City,-5.0,Acapulco - Alvarez International
ACC,ACC,GH,Airport,5.605277778,-0.166666667,Africa/Accra,0.0,Accra - Kotoka International
ACE,ACE,ES,Airport,28.9456,-13.6053,Atlantic/Canary,1.0,Lanzarote
ACK,ACK,US,Airport,41.2531,-70.0603,America/New_York,-4.0,Nantucket
ACT,ACT,US,Airport,31.6114,-97.2306,America/Chicago,-5.0,Waco Municipal
ACV,ACV,US,Airport,40.9781,-124.1086,America/Los_Angeles,-7.0,Arcata/Eureka
ACY,AIY,US,Airport,39.4575,-74.5772,America/New_York,-4.0,Atlantic City - International
ADA,ADA,TR,Airport,36.9822,35.2803,Europe/Istanbul,3.0,Adana
ADB,IZM,TR,Airport,38.2925,27.1569,Europe/Istanbul,3.0,Izmir - Adnan Menderes
ADD,ADD,ET,Airport,8.9778,38.7994,Africa/Addis_Ababa,3.0,Addis Ababa
ADK,ADK,US,Airport,51.8811,-176.6483,America/Adak,-9.0,Adak Island
ADL,ADL,AU,Airport,-34.945,138.5306,Australia/Adelaide,9.5,Adelaide
ADQ,ADQ,US,Airport,57.75,-152.4939,America/Anchorage,-8.0,Kodiak - Kodiak Airport
ADZ,ADZ,CO,Airport,12.5836,-81.7111,America/Bogota,-5.0,San Andres Island
AEP,BUE,AR,Airport,-34.5589,-58.4164,America/Argentina/Buenos_Aires,-3.0,Buenos Aires - Jorge Newbery
AER,AER,RU,Airport,43.45,39.9567,Europe/Moscow,3.0,Sochi
AES,AES,NO,Airport,62.5603,6.1103,Europe/Oslo,2.0,Alesund
AEX,AEX,US,Airport,31.3275,-92.5497,America/Chicago,-5.0,Alexandria Louisiana
AGA,AGA,MA,Airport,30.325,-9.4131,Africa/Casablanca,1.0,Agadir
AGH,AGH,SE,Airport,56.2961,12.8472,Europe/Stockholm,2.0,Helsingborg - Angelholm
AGP,AGP,ES,Airport,36.675,-4.4992,Europe/Madrid,2.0,Malaga
AGS,AUG,US,Airport,33.37,-81.9644,America/New_York,-4.0,"Augusta, Georgia"
AGT,AGT,PY,Airport,-25.4556,-54.8436,America/Asuncion,-4.0,Ciudad del Este - Alejo Garcia
AGU,AGU,MX,Airport,21.7056,-102.3178,America/Mexico_City,-5.0,Aguascalientes
AHB,AHB,SA,Airport,18.2403,42.6567,Asia/Riyadh,3.0,Abha
AHO,AHO,IT,Airport,40.6303,8.2897,Europe/Rome,2.0,Alghero
AIA,AIA,US,Airport,42.0519,-102.8078,America/Denver,-6.0,Alliance
AJA,AJA,FR,Airport,41.9239,8.8025,Europe/Paris,2.0,Ajaccio
AJI,AJI,TR,Airport,39.6539,43.0264,Europe/Istanbul,3.0,AGRI
AJL,AJL,IN,Airport,23.8389,92.6203,Asia/Kolkata,5.5,Aizawl
AJR,AJR,SE,Airport,65.5903,19.2819,Europe/Stockholm,2.0,ARVIDSJAUR
