CityCode,CountryCode,Name,UtcOffset,TimeZoneId,Airports
AAA,PF,,,,
AAB,AU,,,,
AAC,EG,,,,
AAE,DZ,,,,
AAF,US,,,,
AAH,DE,,,,
AAI,BR,,,,
AAJ,SR,,,,
AAK,KI,,,,
AAL,DK,,,,{'AirportCode': 'AAL'}
AAM,ZA,,,,
AAN,AE,,,,
AAO,VE,,,,
AAQ,RU,,,,
AAR,DK,,,,{'AirportCode': 'AAR'}
AAS,ID,,,,
AAT,CN,,,,
AAU,WS,,,,
AAV,PH,,,,
AAX,BR,,,,
AAY,YE,,,,
ABA,RU,,,,
ABD,IR,,,,
ABE,US,,,,{'AirportCode': 'ABE'}
ABF,KI,,,,
ABG,AU,,,,
ABH,AU,,,,
ABI,US,,,,
ABJ,CI,,,,{'AirportCode': 'ABJ'}
ABK,ET,,,,{'AirportCode': 'ABK'}
ABL,US,,,,
ABM,AU,,,,
ABN,SR,,,,
ABO,CI,,,,
ABP,PG,,,,
ABQ,US,,,,{'AirportCode': 'ABQ'}
ABR,US,,,,
ABS,EG,,,,
ABT,SA,,,,
ABU,ID,,,,
ABV,NG,,,,{'AirportCode': 'ABV'}
ABW,PG,,,,
ABX,AU,,,,
ABY,US,,,,
ABZ,GB,,,,{'AirportCode': 'ABZ'}
ACA,MX,,,,{'AirportCode': 'ACA'}
ACB,US,,,,
ACC,GH,,,,{'AirportCode': 'ACC'}
ACD,CO,,,,
ACE,ES,,,,{'AirportCode': 'ACE'}
ACH,CH,,,,
ACI,GB,,,,
ACK,US,,,,{'AirportCode': 'ACK'}
ACL,CO,,,,
ACM,CO,,,,
ACN,MX,,,,
ACO,CH,,,,
ACR,CO,,,,
ACS,RU,,,,
ACT,US,,,,{'AirportCode': 'ACT'}
ACU,PA,,,,
ACV,US,,,,{'AirportCode': 'ACV'}
ADA,TR,,,,{'AirportCode': 'ADA'}
ADD,ET,,,,{'AirportCode': 'ADD'}
ADE,YE,,,,
ADF,TR,,,,
ADG,US,,,,
ADH,RU,,,,
ADI,NA,,,,
ADK,US,,,,{'AirportCode': 'ADK'}
ADL,AU,,,,{'AirportCode': 'ADL'}
ADM,US,,,,
ADN,CO,,,,
ADO,AU,,,,
ADP,LK,,,,
ADQ,US,,,,{'AirportCode': 'ADQ'}
ADR,US,,,,
ADT,US,,,,
ADU,IR,,,,
ADV,GB,,,,
ADW,US,,,,
ADY,ZA,,,,
ADZ,CO,,,,{'AirportCode': 'ADZ'}
AEA,KI,,,,
AEG,ID,,,,
AEH,TD,,,,
AEK,PG,,,,
AEL,US,,,,
AEO,MR,,,,
AER,RU,,,,{'AirportCode': 'AER'}
AES,NO,,,,{'AirportCode': 'AES'}
AET,US,,,,
AEX,US,,,,{'AirportCode': 'AEX'}
AEY,IS,,,,
AFA,AR,,,,
AFD,ZA,,,,
AFI,CO,,,,
AFL,BR,,,,
AFN,US,,,,
AFO,US,,,,
AFR,PG,,,,
AFT,SB,,,,
AFY,TR,,,,
AGA,MA,,,,{'AirportCode': 'AGA'}
AGD,ID,,,,
AGE,DE,,,,
AGF,FR,,,,
AGG,PG,,,,
AGH,SE,,,,{'AirportCode': 'AGH'}
AGI,SR,,,,
AGJ,JP,,,,
AGK,PG,,,,
AGL,PG,,,,
AGM,GL,,,,
AGN,US,,,,
AGO,US,,,,
AGP,ES,,,,{'AirportCode': 'AGP'}
AGQ,GR,,,,
AGR,IN,,,,
AGS,US,,,,
AGT,PY,,,,{'AirportCode': 'AGT'}
AGU,MX,,,,{'AirportCode': 'AGU'}
AGV,VE,,,,
AGW,AU,,,,
AGX,IN,,,,
AGY,AU,,,,
AGZ,ZA,,,,
AHB,SA,,,,{'AirportCode': 'AHB'}
AHC,US,,,,
AHH,US,,,,
AHI,ID,,,,
AHL,GY,,,,
AHN,US,,,,
AHO,IT,,,,{'AirportCode': 'AHO'}
AHS,HN,,,,
AHT,US,,,,
AHU,MA,,,,
AHY,MG,,,,
AHZ,FR,,,,
AIA,US,,,,{'AirportCode': 'AIA'}
AIB,US,,,,
AIC,MH,,,,
AID,US,,,,
AIE,PG,,,,
AIF,BR,,,,
AIG,CF,,,,
AII,DJ,,,,
AIK,US,,,,
AIL,PA,,,,
AIM,MH,,,,
AIN,US,,,,
AIO,US,,,,
AIP,MH,,,,
AIR,BR,,,,
AIS,KI,,,,
AIT,CK,,,,
AIU,CK,,,,
AIV,US,,,,
AIY,US,,,,{'AirportCode': 'ACY'}
AIZ,US,,,,
AJA,FR,,,,{'AirportCode': 'AJA'}
AJF,SA,,,,
AJI,TR,,,,{'AirportCode': 'AJI'}
AJJ,MR,,,,
AJL,IN,,,,{'AirportCode': 'AJL'}
AJN,KM,,,,
AJO,YE,,,,
AJR,SE,,,,{'AirportCode': 'AJR'}
AJS,MX,,,,
AJU,BR,,,,{'AirportCode': 'AJU'}
AJY,NE,,,,
AKA,CN,,,,
AKB,US,,,,
AKD,IN,,,,
AKE,GA,,,,
AKF,LY,,,,
AKG,PG,,,,
AKI,US,,,,
AKJ,JP,,,,{'AirportCode': 'AKJ'}
AKK,US,,,,
AKL,NZ,,,,{'AirportCode': 'AKL'}
AKM,TD,,,,
AKN,US,,,,
AKO,US,,,,
AKP,US,,,,
AKQ,ID,,,,
AKR,NG,,,,
AKS,SB,,,,
AKT,CY,,,,
AKU,CN,,,,
AKV,CA,,,,
AKX,KZ,,,,"{'AirportCode': ['CIT', 'GUW', 'SCO', 'kzo']}"
AKY,MM,,,,
ALA,KZ,,,,{'AirportCode': 'ALA'}
ALB,US,,,,{'AirportCode': 'ALB'}
ALC,ES,,,,{'AirportCode': 'ALC'}
ALD,PE,,,,
ALE,US,,,,
ALF,NO,,,,{'AirportCode': 'ALF'}
ALG,DZ,,,,{'AirportCode': 'ALG'}
ALH,AU,,,,
ALI,US,,,,
ALJ,NA,,,,
ALK,ET,,,,
ALL,IT,,,,
