AirportCode,DepartureAirportCode,DepartureLatitude,DepartureLongitude,ScheduledDepartureLocal,ScheduledDepartureUTC,ActualDepartureLocal,ActualDepartureUTC,DepartureTimeStatus,ArrivalAirportCode,ArrivalLatitude,ArrivalLongitude,ScheduledArrivalLocal,ScheduledArrivalUTC,ActualArrivalLocal,ActualArrivalUTC,ArrivalTimeStatus,MarketingAirlineID,MarketingFlightNumber,OperatingAirlineID,OperatingFlightNumber,AircraftCode,AircraftRegistration,FlightStatus,ServiceType
MCO,MCO,28.4294,-81.3089,2024-06-21T23:10,2024-06-22T03:10Z,2024-06-22T00:43,2024-06-22T04:43Z,Flight Delayed,FRA,50.0331,8.5706,2024-06-22T14:30,2024-06-22T12:30Z,2024-06-22T15:44,2024-06-22T13:44Z,Flight Delayed,4Y,057,4Y,057,333,DAIKH,Flight Landed,Passenger
MUC,MUC,48.3539,11.7861,2024-06-21T21:35,2024-06-21T19:35Z,2024-06-22T00:07,2024-06-21T22:07Z,Flight Delayed,ARN,59.6519,17.9186,2024-06-21T23:45,2024-06-21T21:45Z,2024-06-22T02:02,2024-06-22T00:02Z,Flight Delayed,LH,2420,LH,2420,321,DAIRN,Flight Landed,Passenger
NBO,NBO,-1.319166667,36.92777778,2024-06-22T00:45,2024-06-21T21:45Z,,,Flight On Time,JED,21.6794,39.1567,2024-06-22T04:35,2024-06-22T01:35Z,,,Flight On Time,SV,430,SV,430,330,,No status,Passenger
NDR,NDR,34.9889,-3.0283,2024-06-22T02:00,2024-06-22T01:00Z,2024-06-22T04:29,2024-06-22T03:29Z,Flight Delayed,CGN,50.8658,7.1428,2024-06-22T06:00,2024-06-22T04:00Z,2024-06-22T08:38,2024-06-22T06:38Z,Flight Delayed,EW,385,EW,385,73H,OKTVT,Flight Landed,Passenger
NUE,NUE,49.4986,11.0669,2024-06-22T00:20,2024-06-21T22:20Z,2024-06-22T00:45,2024-06-21T22:45Z,Flight Delayed,AYT,36.8986,30.8006,2024-06-22T04:30,2024-06-22T01:30Z,2024-06-22T04:56,2024-06-22T01:56Z,Flight Delayed,XQ,169,XQ,169,320,LYMLN,Flight Landed,Passenger
NUE,NUE,49.4986,11.0669,2024-06-22T00:30,2024-06-21T22:30Z,,,Flight On Time,ADB,38.2925,27.1569,2024-06-22T04:15,2024-06-22T01:15Z,2024-06-22T05:23,2024-06-22T02:23Z,Flight Delayed,XQ,939,XQ,939,73H,TCSPT,Flight Landed,Passenger
NUE,NUE,49.4986,11.0669,2024-06-22T02:50,2024-06-22T00:50Z,2024-06-22T04:19,2024-06-22T02:19Z,Flight Delayed,AYT,36.8986,30.8006,2024-06-22T07:00,2024-06-22T04:00Z,2024-06-22T08:57,2024-06-22T05:57Z,Flight Delayed,XQ,167,XQ,167,7M8,TCSMK,Flight Landed,Passenger
NUE,NUE,49.4986,11.0669,2024-06-22T03:15,2024-06-22T01:15Z,2024-06-22T04:17,2024-06-22T02:17Z,Flight Delayed,AYT,36.8986,30.8006,2024-06-22T07:25,2024-06-22T04:25Z,2024-06-22T08:43,2024-06-22T05:43Z,Flight Delayed,XQ,165,XQ,165,73H,TCSPI,Flight Landed,Passenger
NUE,NUE,49.4986,11.0669,2024-06-22T03:50,2024-06-22T01:50Z,2024-06-22T03:48,2024-06-22T01:48Z,Flight Early,PMI,39.5517,2.7389,2024-06-22T06:00,2024-06-22T04:00Z,2024-06-22T05:55,2024-06-22T03:55Z,Flight Early,EW,6815,EW,6815,32A,9HEWE,Flight Landed,Passenger
PAD,PAD,51.61166667,8.615277778,2024-06-22T01:55,2024-06-21T23:55Z,2024-06-22T02:35,2024-06-22T00:35Z,Flight Delayed,AYT,36.8986,30.8006,2024-06-22T06:25,2024-06-22T03:25Z,2024-06-22T07:21,2024-06-22T04:21Z,Flight Delayed,XQ,367,XQ,367,7M8,TCSMN,Flight Landed,Passenger
PAD,PAD,51.61166667,8.615277778,2024-06-22T03:15,2024-06-22T01:15Z,2024-06-22T04:40,2024-06-22T02:40Z,Flight Delayed,AYT,36.8986,30.8006,2024-06-22T07:45,2024-06-22T04:45Z,2024-06-22T09:55,2024-06-22T06:55Z,Flight Delayed,XQ,369,XQ,369,73H,YRHLB,Flight Landed,Passenger
PEK,PEK,40.08,116.5844,2024-06-22T02:20,2024-06-21T18:20Z,2024-06-22T02:37,2024-06-21T18:37Z,Flight Delayed,MUC,48.3539,11.7861,2024-06-22T06:20,2024-06-22T04:20Z,2024-06-22T06:30,2024-06-22T04:30Z,Flight Delayed,CA,961,CA,961,773,B2047,Flight Landed,Passenger
PEK,PEK,40.08,116.5844,2024-06-22T02:30,2024-06-21T18:30Z,2024-06-22T04:01,2024-06-21T20:01Z,Flight Delayed,FRA,50.0331,8.5706,2024-06-22T06:50,2024-06-22T04:50Z,2024-06-22T07:57,2024-06-22T05:57Z,Flight Delayed,CA,965,CA,965,773,B2039,Flight Landed,Passenger
PEK,PEK,40.08,116.5844,2024-06-22T02:50,2024-06-21T18:50Z,,,Flight On Time,VIE,48.1103,16.5781,2024-06-22T06:50,2024-06-22T04:50Z,2024-06-22T07:07,2024-06-22T05:07Z,Flight Delayed,CA,841,CA,841,359,B326Y,Flight Landed,Passenger
PMI,PMI,39.5517,2.7389,2024-06-21T21:25,2024-06-21T19:25Z,2024-06-22T00:16,2024-06-21T22:16Z,Flight Delayed,HAJ,52.4606,9.6894,2024-06-22T00:05,2024-06-21T22:05Z,2024-06-22T02:45,2024-06-22T00:45Z,Flight Delayed,EW,3591,EW,3591,320,9HEUP,Flight Landed,Passenger
PMI,PMI,39.5517,2.7389,2024-06-21T23:05,2024-06-21T21:05Z,2024-06-22T00:02,2024-06-21T22:02Z,Flight Delayed,NUE,49.4986,11.0669,2024-06-22T01:20,2024-06-21T23:20Z,2024-06-22T02:02,2024-06-22T00:02Z,Flight Delayed,EW,6814,EW,6814,32A,9HEWE,Flight Landed,Passenger
PMI,PMI,39.5517,2.7389,2024-06-21T23:25,2024-06-21T21:25Z,,,No status,ERF,,,2024-06-22T01:55,2024-06-21T23:55Z,,,No status,EW,6862,EW,6862,320,9HEUT,Flight Cancelled,Passenger
PRN,PRN,42.57527778,21.03638889,2024-06-22T02:05,2024-06-22T00:05Z,2024-06-22T03:18,2024-06-22T01:18Z,Flight Delayed,AYT,36.8986,30.8006,2024-06-22T04:55,2024-06-22T01:55Z,2024-06-22T06:06,2024-06-22T03:06Z,Flight Delayed,XQ,643,XQ,643,73H,TCSPU,Flight Landed,Passenger
RUH,RUH,24.9578,46.6989,2024-06-22T01:55,2024-06-21T22:55Z,2024-06-22T01:59,2024-06-21T22:59Z,Flight On Time,FRA,50.0331,8.5706,2024-06-22T07:20,2024-06-22T05:20Z,2024-06-22T07:06,2024-06-22T05:06Z,Flight Early,LH,637,LH,637,333,DAIKS,Flight Landed,Passenger
RUH,RUH,24.9578,46.6989,2024-06-22T02:30,2024-06-21T23:30Z,,,Flight On Time,JFK,40.6397,-73.7789,2024-06-22T09:00,2024-06-22T13:00Z,,,Flight On Time,SV,023,SV,023,777,,No status,Passenger
RUH,RUH,24.9578,46.6989,2024-06-22T02:30,2024-06-21T23:30Z,,,Flight On Time,JED,21.6794,39.1567,2024-06-22T04:20,2024-06-22T01:20Z,,,Flight On Time,SV,1057,SV,1057,321,,No status,Passenger
RUH,RUH,24.9578,46.6989,2024-06-22T03:05,2024-06-22T00:05Z,,,Flight On Time,JED,21.6794,39.1567,2024-06-22T04:55,2024-06-22T01:55Z,,,Flight On Time,SV,1099,SV,1099,320,,No status,Passenger
RUH,RUH,24.9578,46.6989,2024-06-22T04:00,2024-06-22T01:00Z,,,Flight On Time,JED,21.6794,39.1567,2024-06-22T05:50,2024-06-22T02:50Z,,,Flight On Time,SV,1015,SV,1015,330,,No status,Passenger
SAP,SAP,15.4528,-87.9236,2024-06-22T03:40,2024-06-22T09:40Z,,,Flight On Time,JFK,40.6397,-73.7789,2024-06-22T10:00,2024-06-22T14:00Z,,,Flight On Time,AV,664,AV,664,320,,No status,Passenger
FMO,FMO,52.1347,7.6847,2024-06-22T00:10,2024-06-21T22:10Z,2024-06-22T01:29,2024-06-21T23:29Z,Flight Delayed,AYT,36.8986,30.8006,2024-06-22T04:45,2024-06-22T01:45Z,2024-06-22T06:10,2024-06-22T03:10Z,Flight Delayed,XQ,251,XQ,251,73H,TCTLI,Flight Landed,Passenger
FMO,FMO,52.1347,7.6847,2024-06-22T01:50,2024-06-21T23:50Z,2024-06-22T03:18,2024-06-22T01:18Z,Flight Delayed,AYT,36.8986,30.8006,2024-06-22T06:25,2024-06-22T03:25Z,2024-06-22T08:07,2024-06-22T05:07Z,Flight Delayed,XQ,255,XQ,255,73H,TCSPE,Flight Landed,Passenger
FMO,FMO,52.1347,7.6847,2024-06-22T03:40,2024-06-22T01:40Z,2024-06-22T04:34,2024-06-22T02:34Z,Flight Delayed,AYT,36.8986,30.8006,2024-06-22T08:15,2024-06-22T05:15Z,2024-06-22T09:56,2024-06-22T06:56Z,Flight Delayed,XQ,257,XQ,257,73H,TCSOH,Flight Landed,Passenger
GZT,GZT,36.9472,37.4786,2024-06-21T15:00,2024-06-21T12:00Z,2024-06-22T00:18,2024-06-21T21:18Z,Flight Delayed,AYT,36.8986,30.8006,2024-06-21T16:30,2024-06-21T13:30Z,2024-06-22T01:27,2024-06-21T22:27Z,Flight Delayed,XQ,7647,XQ,7647,73H,TCSRB,Flight Landed,Passenger
GZT,GZT,36.9472,37.4786,2024-06-22T03:20,2024-06-22T00:20Z,2024-06-22T04:34,2024-06-22T01:34Z,Flight Delayed,DUS,51.2894,6.7667,2024-06-22T06:40,2024-06-22T04:40Z,2024-06-22T07:46,2024-06-22T05:46Z,Flight Delayed,XQ,748,XQ,748,73H,TCSPK,Flight Landed,Passenger
HAJ,HAJ,52.4606,9.6894,2024-06-22T00:10,2024-06-21T22:10Z,2024-06-22T01:21,2024-06-21T23:21Z,Flight Delayed,ADB,38.2925,27.1569,2024-06-22T04:15,2024-06-22T01:15Z,2024-06-22T05:29,2024-06-22T02:29Z,Flight Delayed,XQ,975,XQ,975,73H,TCSUU,Flight Landed,Passenger
HAJ,HAJ,52.4606,9.6894,2024-06-22T00:50,2024-06-21T22:50Z,2024-06-22T01:40,2024-06-21T23:40Z,Flight Delayed,AYT,36.8986,30.8006,2024-06-22T05:20,2024-06-22T02:20Z,2024-06-22T06:24,2024-06-22T03:24Z,Flight Delayed,XQ,237,XQ,237,320,LYMLK,Flight Landed,Passenger
HAJ,HAJ,52.4606,9.6894,2024-06-22T01:40,2024-06-21T23:40Z,2024-06-22T04:40,2024-06-22T02:40Z,Flight Delayed,AYT,36.8986,30.8006,2024-06-22T06:10,2024-06-22T03:10Z,2024-06-22T09:35,2024-06-22T06:35Z,Flight Delayed,XQ,235,XQ,235,73H,TCSPS,Flight Landed,Passenger
HAJ,HAJ,52.4606,9.6894,2024-06-22T03:35,2024-06-22T01:35Z,2024-06-22T05:07,2024-06-22T03:07Z,Flight Delayed,AYT,36.8986,30.8006,2024-06-22T08:05,2024-06-22T05:05Z,2024-06-22T10:15,2024-06-22T07:15Z,Flight Delayed,XQ,231,XQ,231,7M8,TCSML,Flight Landed,Passenger
HAJ,HAJ,52.4606,9.6894,2024-06-22T03:40,2024-06-22T01:40Z,2024-06-22T04:35,2024-06-22T02:35Z,Flight Delayed,AYT,36.8986,30.8006,2024-06-22T08:10,2024-06-22T05:10Z,2024-06-22T09:28,2024-06-22T06:28Z,Flight Delayed,XQ,233,XQ,233,73H,TCSEK,Flight Landed,Passenger
HEL,HEL,60.3172,24.9633,2024-06-22T00:05,2024-06-21T21:05Z,,,Flight On Time,VAA,63.0506,21.7622,2024-06-22T01:05,2024-06-21T22:05Z,,,Flight On Time,AY,321,AY,321,AT7,,No status,Passenger
HEL,HEL,60.3172,24.9633,2024-06-22T00:20,2024-06-21T21:20Z,,,Flight On Time,TLL,59.4133,24.8325,2024-06-22T00:55,2024-06-21T21:55Z,,,Flight On Time,AY,1035,AY,1035,AT7,,No status,Passenger
HEL,HEL,60.3172,24.9633,2024-06-22T00:25,2024-06-21T21:25Z,,,Flight On Time,SIN,1.3592,103.9894,2024-06-22T18:35,2024-06-22T10:35Z,,,Flight On Time,AY,131,AY,131,359,,No status,Passenger
HEL,HEL,60.3172,24.9633,2024-06-22T00:35,2024-06-21T21:35Z,,,Flight On Time,HKG,22.3089,113.9147,2024-06-22T17:45,2024-06-22T09:45Z,,,Flight On Time,AY,099,AY,099,359,,No status,Passenger
