AirportCode,DepartureAirportCode,ScheduledDepartureLocal,ScheduledDepartureUTC,ActualDepartureLocal,ActualDepartureUTC,DepartureTimeStatus,ArrivalAirportCode,ScheduledArrivalLocal,ScheduledArrivalUTC,ActualArrivalLocal,ActualArrivalUTC,ArrivalTimeStatus,MarketingAirlineID,MarketingFlightNumber,OperatingAirlineID,OperatingFlightNumber,AircraftCode,AircraftRegistration,FlightStatus,ServiceType
ADB,ADB,2024-06-10T01:30,2024-06-09T22:30Z,2024-06-10T01:40,2024-06-09T22:40Z,Flight On Time,PRN,2024-06-10T02:05,2024-06-10T00:05Z,2024-06-10T02:04,2024-06-10T00:04Z,Flight Early,XQ,822,XQ,822,73H,TCSPM,Flight Landed,Passenger
ADB,ADB,2024-06-10T02:30,2024-06-09T23:30Z,2024-06-10T02:24,2024-06-09T23:24Z,Flight Early,HAJ,2024-06-10T04:50,2024-06-10T02:50Z,2024-06-10T04:37,2024-06-10T02:37Z,Flight Early,XQ,994,XQ,994,7M8,TCSMJ,Flight Landed,Passenger
ADB,ADB,2024-06-10T03:50,2024-06-10T00:50Z,2024-06-10T03:48,2024-06-10T00:48Z,Flight Early,DTM,2024-06-10T06:10,2024-06-10T04:10Z,2024-06-10T06:07,2024-06-10T04:07Z,Flight Early,XQ,936,XQ,936,73H,TCSOF,Flight Landed,Passenger
ADB,ADB,2024-06-10T03:50,2024-06-10T00:50Z,2024-06-10T03:50,2024-06-10T00:50Z,Flight On Time,DUS,2024-06-10T06:15,2024-06-10T04:15Z,2024-06-10T06:07,2024-06-10T04:07Z,Flight Early,XQ,988,XQ,988,73H,TCSPI,Flight Landed,Passenger
ADB,ADB,2024-06-10T04:00,2024-06-10T01:00Z,2024-06-10T04:00,2024-06-10T01:00Z,Flight On Time,SCN,2024-06-10T06:15,2024-06-10T04:15Z,2024-06-10T06:14,2024-06-10T04:14Z,Flight Early,XQ,864,XQ,864,73H,TCSNN,Flight Landed,Passenger
ADD,ADD,2024-06-10T00:05,2024-06-09T21:05Z,,,Flight On Time,FRA,2024-06-10T06:25,2024-06-10T04:25Z,2024-06-10T06:18,2024-06-10T04:18Z,Flight Early,ET,706,ET,706,359,ETAZI,Flight Landed,Passenger
ADD,ADD,2024-06-10T00:05,2024-06-09T21:05Z,,,Flight On Time,CDG,2024-06-10T06:45,2024-06-10T04:45Z,,,Flight On Time,ET,734,ET,734,789,,No status,Passenger
ADD,ADD,2024-06-10T00:35,2024-06-09T21:35Z,,,Flight On Time,VIE,2024-06-10T05:55,2024-06-10T03:55Z,2024-06-10T06:22,2024-06-10T04:22Z,Flight Delayed,ET,724,ET,724,77L,WILAD,Flight Landed,Passenger
AGP,AGP,2024-06-10T01:15,2024-06-09T23:15Z,,,Flight On Time,HEL,2024-06-10T06:45,2024-06-10T03:45Z,,,Flight On Time,AY,1676,AY,1676,32B,,No status,Passenger
AHB,AHB,2024-06-10T00:05,2024-06-09T21:05Z,,,Flight On Time,JED,2024-06-10T01:25,2024-06-09T22:25Z,,,Flight On Time,SV,1621,SV,1621,320,,No status,Passenger
AHB,AHB,2024-06-10T01:45,2024-06-09T22:45Z,,,Flight On Time,JED,2024-06-10T03:05,2024-06-10T00:05Z,,,Flight On Time,SV,1643,SV,1643,320,,No status,Passenger
ALA,ALA,2024-06-10T03:50,2024-06-09T22:50Z,2024-06-10T03:59,2024-06-09T22:59Z,Flight On Time,FRA,2024-06-10T08:55,2024-06-10T06:55Z,2024-06-10T08:35,2024-06-10T06:35Z,Flight Early,LH,651,LH,651,333,DAIKI,Flight Landed,Passenger
ALG,ALG,2024-06-10T01:50,2024-06-10T00:50Z,2024-06-10T01:40,2024-06-10T00:40Z,Flight Early,FRA,2024-06-10T05:30,2024-06-10T03:30Z,2024-06-10T05:06,2024-06-10T03:06Z,Flight Early,LH,1319,LH,1319,319,DAILD,Flight Landed,Passenger
