airport_code,ScheduledTimeUTC,FlightNumber,AirlineID,DepartureTimeUTC,ArrivalTimeUTC,FlightStatus,Equipment
MCO,2024-06-22T03:10Z,057,4Y,2024-06-22T03:10Z,2024-06-22T12:30Z,LD,333
MUC,2024-06-21T19:35Z,2420,LH,2024-06-21T19:35Z,2024-06-21T21:45Z,LD,321
NBO,2024-06-21T21:45Z,430,SV,2024-06-21T21:45Z,2024-06-22T01:35Z,NA,330
NDR,2024-06-22T01:00Z,385,EW,2024-06-22T01:00Z,2024-06-22T04:00Z,LD,73H
NUE,2024-06-21T22:20Z,169,XQ,2024-06-21T22:20Z,2024-06-22T01:30Z,LD,320
NUE,2024-06-21T22:30Z,939,XQ,2024-06-21T22:30Z,2024-06-22T01:15Z,LD,73H
NUE,2024-06-22T00:50Z,167,XQ,2024-06-22T00:50Z,2024-06-22T04:00Z,LD,7M8
NUE,2024-06-22T01:15Z,165,XQ,2024-06-22T01:15Z,2024-06-22T04:25Z,LD,73H
NUE,2024-06-22T01:50Z,6815,EW,2024-06-22T01:50Z,2024-06-22T04:00Z,LD,32A
PAD,2024-06-21T23:55Z,367,XQ,2024-06-21T23:55Z,2024-06-22T03:25Z,LD,7M8
PAD,2024-06-22T01:15Z,369,XQ,2024-06-22T01:15Z,2024-06-22T04:45Z,LD,73H
PEK,2024-06-21T18:20Z,961,CA,2024-06-21T18:20Z,2024-06-22T04:20Z,LD,773
PEK,2024-06-21T18:30Z,965,CA,2024-06-21T18:30Z,2024-06-22T04:50Z,LD,773
PEK,2024-06-21T18:50Z,841,CA,2024-06-21T18:50Z,2024-06-22T04:50Z,LD,359
PMI,2024-06-21T19:25Z,3591,EW,2024-06-21T19:25Z,2024-06-21T22:05Z,LD,320
PMI,2024-06-21T21:05Z,6814,EW,2024-06-21T21:05Z,2024-06-21T23:20Z,LD,32A
PMI,2024-06-21T21:25Z,6862,EW,2024-06-21T21:25Z,2024-06-21T23:55Z,CD,320
PRN,2024-06-22T00:05Z,643,XQ,2024-06-22T00:05Z,2024-06-22T01:55Z,LD,73H
RUH,2024-06-21T22:55Z,637,LH,2024-06-21T22:55Z,2024-06-22T05:20Z,LD,333
RUH,2024-06-21T23:30Z,023,SV,2024-06-21T23:30Z,2024-06-22T13:00Z,NA,777
RUH,2024-06-21T23:30Z,1057,SV,2024-06-21T23:30Z,2024-06-22T01:20Z,NA,321
RUH,2024-06-22T00:05Z,1099,SV,2024-06-22T00:05Z,2024-06-22T01:55Z,NA,320
RUH,2024-06-22T01:00Z,1015,SV,2024-06-22T01:00Z,2024-06-22T02:50Z,NA,330
SAP,2024-06-22T09:40Z,664,AV,2024-06-22T09:40Z,2024-06-22T14:00Z,NA,320
FMO,2024-06-21T22:10Z,251,XQ,2024-06-21T22:10Z,2024-06-22T01:45Z,LD,73H
FMO,2024-06-21T23:50Z,255,XQ,2024-06-21T23:50Z,2024-06-22T03:25Z,LD,73H
FMO,2024-06-22T01:40Z,257,XQ,2024-06-22T01:40Z,2024-06-22T05:15Z,LD,73H
GZT,2024-06-21T12:00Z,7647,XQ,2024-06-21T12:00Z,2024-06-21T13:30Z,LD,73H
GZT,2024-06-22T00:20Z,748,XQ,2024-06-22T00:20Z,2024-06-22T04:40Z,LD,73H
HAJ,2024-06-21T22:10Z,975,XQ,2024-06-21T22:10Z,2024-06-22T01:15Z,LD,73H
HAJ,2024-06-21T22:50Z,237,XQ,2024-06-21T22:50Z,2024-06-22T02:20Z,LD,320
HAJ,2024-06-21T23:40Z,235,XQ,2024-06-21T23:40Z,2024-06-22T03:10Z,LD,73H
HAJ,2024-06-22T01:35Z,231,XQ,2024-06-22T01:35Z,2024-06-22T05:05Z,LD,7M8
HAJ,2024-06-22T01:40Z,233,XQ,2024-06-22T01:40Z,2024-06-22T05:10Z,LD,73H
HEL,2024-06-21T21:05Z,321,AY,2024-06-21T21:05Z,2024-06-21T22:05Z,NA,AT7
HEL,2024-06-21T21:20Z,1035,AY,2024-06-21T21:20Z,2024-06-21T21:55Z,NA,AT7
HEL,2024-06-21T21:25Z,131,AY,2024-06-21T21:25Z,2024-06-22T10:35Z,NA,359
HEL,2024-06-21T21:35Z,099,AY,2024-06-21T21:35Z,2024-06-22T09:45Z,NA,359
HKG,2024-06-21T18:00Z,844,CX,2024-06-21T18:00Z,2024-06-22T10:00Z,NA,351
HYD,2024-06-21T20:55Z,753,SV,2024-06-21T20:55Z,2024-06-22T02:50Z,NA,333
HYD,2024-06-21T21:40Z,753,LH,2024-06-21T21:40Z,2024-06-22T06:50Z,LD,78S
IKA,2024-06-21T23:10Z,872,OS,2024-06-21T23:10Z,2024-06-22T03:55Z,LD,32N
ISB,2024-06-21T22:00Z,727,SV,2024-06-21T22:00Z,2024-06-22T03:10Z,NA,777
IST,2024-06-21T23:45Z,268,SV,2024-06-21T23:45Z,2024-06-22T03:45Z,NA,320
JED,2024-06-21T21:15Z,309,SV,2024-06-21T21:15Z,2024-06-21T23:30Z,NA,330
JED,2024-06-21T21:30Z,590,SV,2024-06-21T21:30Z,2024-06-22T00:35Z,NA,321
JED,2024-06-21T22:00Z,1056,SV,2024-06-21T22:00Z,2024-06-21T23:50Z,NA,777
JED,2024-06-21T22:00Z,1128,SV,2024-06-21T22:00Z,2024-06-22T00:10Z,NA,320
JED,2024-06-21T22:05Z,627,SV,2024-06-21T22:05Z,2024-06-22T00:10Z,NA,330
JED,2024-06-21T22:40Z,421,SV,2024-06-21T22:40Z,2024-06-22T01:10Z,NA,333
JED,2024-06-21T22:50Z,818,SV,2024-06-21T22:50Z,2024-06-22T09:00Z,NA,773
JED,2024-06-21T22:55Z,834,SV,2024-06-21T22:55Z,2024-06-22T07:55Z,NA,787
JED,2024-06-21T23:05Z,1547,SV,2024-06-21T23:05Z,2024-06-22T00:40Z,NA,321
JED,2024-06-21T23:10Z,1420,SV,2024-06-21T23:10Z,2024-06-22T00:15Z,NA,321
JED,2024-06-21T23:20Z,1254,SV,2024-06-21T23:20Z,2024-06-22T00:50Z,NA,320
JED,2024-06-21T23:20Z,1781,SV,2024-06-21T23:20Z,2024-06-22T01:00Z,NA,320
JED,2024-06-21T23:30Z,383,SV,2024-06-21T23:30Z,2024-06-22T01:45Z,NA,330
JED,2024-06-21T23:40Z,1642,SV,2024-06-21T23:40Z,2024-06-22T01:05Z,NA,320
JED,2024-06-22T00:05Z,1130,SV,2024-06-22T00:05Z,2024-06-22T02:15Z,NA,320
