airport_code,ScheduledTimeUTC,FlightNumber,AirlineID,DepartureTimeUTC,ArrivalTimeUTC,FlightStatus,Equipment,DepartureDelay,ArrivalDelay
MCO,2024-06-22 03:10:00+00:00,57,4Y,2024-06-22 03:10:00+00:00,2024-06-22 12:30:00+00:00,LD,333,0.0,560.0
MUC,2024-06-21 19:35:00+00:00,2420,LH,2024-06-21 19:35:00+00:00,2024-06-21 21:45:00+00:00,LD,321,0.0,130.0
NBO,2024-06-21 21:45:00+00:00,430,SV,2024-06-21 21:45:00+00:00,2024-06-22 01:35:00+00:00,,330,0.0,230.0
NDR,2024-06-22 01:00:00+00:00,385,EW,2024-06-22 01:00:00+00:00,2024-06-22 04:00:00+00:00,LD,73H,0.0,180.0
NUE,2024-06-21 22:20:00+00:00,169,XQ,2024-06-21 22:20:00+00:00,2024-06-22 01:30:00+00:00,LD,320,0.0,190.0
NUE,2024-06-21 22:30:00+00:00,939,XQ,2024-06-21 22:30:00+00:00,2024-06-22 01:15:00+00:00,LD,73H,0.0,165.0
NUE,2024-06-22 00:50:00+00:00,167,XQ,2024-06-22 00:50:00+00:00,2024-06-22 04:00:00+00:00,LD,7M8,0.0,190.0
NUE,2024-06-22 01:15:00+00:00,165,XQ,2024-06-22 01:15:00+00:00,2024-06-22 04:25:00+00:00,LD,73H,0.0,190.0
NUE,2024-06-22 01:50:00+00:00,6815,EW,2024-06-22 01:50:00+00:00,2024-06-22 04:00:00+00:00,LD,32A,0.0,130.0
PAD,2024-06-21 23:55:00+00:00,367,XQ,2024-06-21 23:55:00+00:00,2024-06-22 03:25:00+00:00,LD,7M8,0.0,210.0
PAD,2024-06-22 01:15:00+00:00,369,XQ,2024-06-22 01:15:00+00:00,2024-06-22 04:45:00+00:00,LD,73H,0.0,210.0
PEK,2024-06-21 18:20:00+00:00,961,CA,2024-06-21 18:20:00+00:00,2024-06-22 04:20:00+00:00,LD,773,0.0,600.0
PEK,2024-06-21 18:30:00+00:00,965,CA,2024-06-21 18:30:00+00:00,2024-06-22 04:50:00+00:00,LD,773,0.0,620.0
PEK,2024-06-21 18:50:00+00:00,841,CA,2024-06-21 18:50:00+00:00,2024-06-22 04:50:00+00:00,LD,359,0.0,600.0
PMI,2024-06-21 19:25:00+00:00,3591,EW,2024-06-21 19:25:00+00:00,2024-06-21 22:05:00+00:00,LD,320,0.0,160.0
PMI,2024-06-21 21:05:00+00:00,6814,EW,2024-06-21 21:05:00+00:00,2024-06-21 23:20:00+00:00,LD,32A,0.0,135.0
PMI,2024-06-21 21:25:00+00:00,6862,EW,2024-06-21 21:25:00+00:00,2024-06-21 23:55:00+00:00,CD,320,0.0,150.0
PRN,2024-06-22 00:05:00+00:00,643,XQ,2024-06-22 00:05:00+00:00,2024-06-22 01:55:00+00:00,LD,73H,0.0,110.0
RUH,2024-06-21 22:55:00+00:00,637,LH,2024-06-21 22:55:00+00:00,2024-06-22 05:20:00+00:00,LD,333,0.0,385.0
RUH,2024-06-21 23:30:00+00:00,23,SV,2024-06-21 23:30:00+00:00,2024-06-22 13:00:00+00:00,,777,0.0,810.0
RUH,2024-06-21 23:30:00+00:00,1057,SV,2024-06-21 23:30:00+00:00,2024-06-22 01:20:00+00:00,,321,0.0,110.0
