AircraftCode,Names,AirlineEquipCode
100,"{'Name': {'@LanguageCode': 'EN', '$': 'Fokker 100'}}",F100
141,"{'Name': {'@LanguageCode': 'EN', '$': 'BAE Systems 146-100 Passenger'}}",B461
142,"{'Name': {'@LanguageCode': 'EN', '$': 'BAE Systems 146-200 Passenger'}}",B462
143,"{'Name': {'@LanguageCode': 'EN', '$': 'BAE Systems 146-300 Passenger'}}",B463
14X,"{'Name': {'@LanguageCode': 'EN', '$': 'BAE Systems 146-100 Freighter'}}",B461
14Y,"{'Name': {'@LanguageCode': 'EN', '$': 'BAE Systems 146-200 Freighter'}}",B462
14Z,"{'Name': {'@LanguageCode': 'EN', '$': 'BAE Systems 146-300 Freighter'}}",B463
221,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A220-100'}}",BCS1
223,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A220-300'}}",BCS3
290,"{'Name': {'@LanguageCode': 'EN', '$': 'E190-E2'}}",E290
295,"{'Name': {'@LanguageCode': 'EN', '$': 'E195-E2'}}",E295
312,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A310-200 Passenger'}}",A310
313,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A310-300 Passenger'}}",A310
318,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A318'}}",A318
319,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A319'}}",A319
31A,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A318 (sharklets)'}}",A318
31B,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A319 (sharklets)'}}",A319
31N,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A319neo'}}",A19N
31X,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A310-200 Freighter'}}",A310
31Y,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A310-300 Freighter'}}",A310
320,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A320'}}",A320
321,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A321'}}",A321
32A,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A320 (sharklets)'}}",A320
32B,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A321 (sharklets)'}}",A321
32F,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A320 Freighter'}}",A320
32N,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A320neo'}}",A20N
32Q,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A321neo'}}",A21N
32X,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A321 Freighter'}}",A321
332,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A330-200'}}",A332
333,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A330-300'}}",A333
33X,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A330-200 Freighter'}}",A332
342,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A340-200'}}",A342
343,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A340-300'}}",A343
345,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A340-500'}}",A345
346,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A340-600'}}",A346
351,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A350-1000'}}",ZZZZ
358,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A350-800'}}",ZZZZ
359,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A350-900'}}",A359
388,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A380-800 Passenger'}}",A388
38F,"{'Name': {'@LanguageCode': 'EN', '$': 'Airbus A380-800F Freighter'}}",A388
703,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 707-320B / 320C Passenger'}}",B703
70F,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 707-320B / 320C Freighter'}}",B703
70M,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 707-320B / 320C Mixed Configuration'}}",B703
717,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 717-200'}}",B712
721,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 727-100 Passenger'}}",B721
722,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 727-200 Passenger'}}",B722
72B,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 727-100 Mixed Configuration'}}",B721
72C,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 727-200 Mixed Configuration'}}",B722
72W,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 727-200 (winglets) Passenger'}}",B722
72X,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 727-100 Freighter'}}",B721
72Y,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 727-200 Freighter'}}",B722
731,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 737-100 Passenger'}}",B731
732,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 737-200 Passenger'}}",B732
733,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 737-300 Passenger'}}",B733
734,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 737-400 Passenger'}}",B734
735,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 737-500 Passenger'}}",B735
736,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 737-600 Passenger'}}",B736
738,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 737-800 Passenger'}}",B738
739,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 737-900 Passenger'}}",B739
73C,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 737-300 (winglets) Passenger'}}",B733
73E,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 737-500 (winglets) Passenger'}}",B735
73G,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 737-700 Passenger'}}",B737
73H,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 737-800 (winglets) Passenger/BBJ2'}}",B738
73J,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 737-900 (winglets) Passenger/BBJ3'}}",B739
73L,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 737-200 Mixed Configuration'}}",B732
73N,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 737-300 Mixed Configuration'}}",B733
73P,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 737-400 Freighter'}}",B734
73Q,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 737-400 Mixed Configuration'}}",B734
73R,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 737-700 Mixed Configuration/BBJC'}}",B737
73S,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 737-700 Freighter'}}",B737
73W,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 737-700 (winglets) Passenger/BBJ1'}}",B737
73X,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 737-200 Freighter'}}",B732
73Y,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 737-300 Freighter'}}",B733
741,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 747-100 Passenger'}}",B741
742,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 747-200 Passenger'}}",B742
743,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 747-300 / 747-100/200 SUD Passenger'}}",B743
744,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 747-400 Passenger'}}",B744
748,{},
748,{},
74B,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 747-400 Swingtail Freighter'}}",B744
74C,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 747-200 Mixed Configuration'}}",B742
74D,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 747-300 / 747-200 SUD Mixed Configuration'}}",B743
74E,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 747-400 Mixed Configuration'}}",B744
74H,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 747-8 Passenger'}}",B748
74J,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 747-400 (Domestic) Passenger'}}",B74D
74L,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 747SP Passenger'}}",B74S
74N,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 747-8F Freighter'}}",B748
74R,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 747SR Passenger'}}",B74R
74T,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 747-100 Freighter'}}",B741
74U,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 747-300 / 747-200 SUD Freighter'}}",B743
74V,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 747SR Freighter'}}",B74R
74X,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 747-200 Freighter'}}",B742
74Y,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 747-400 Freighter'}}",B744
752,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 757-200 Passenger'}}",B752
753,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 757-300 Passenger'}}",B753
75F,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 757-200 Freighter'}}",B752
75M,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 757-200 Mixed Configuration'}}",B752
75T,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 757-300 (winglets) Passenger'}}",B753
75W,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 757-200 (winglets) Passenger'}}",B752
762,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 767-200 Passenger'}}",B762
762,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 767-200 Passenger'}}",B762
763,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 767-300 Passenger'}}",B763
764,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 767-400 Passenger'}}",B764
76V,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 767-300 (winglets) Freighter'}}",B763
76W,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 767-300 (winglets) Passenger'}}",B763
76X,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 767-200 Freighter'}}",B762
76Y,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 767-300 Freighter'}}",B763
772,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 777-200/ 200ER'}}",B77L
773,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 777-300'}}",B773
779,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 777-900'}}",B779
77F,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 777 Freighter'}}",B77F
77L,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 777-200LR'}}",B772
77W,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 777-300ER'}}",B77W
77X,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 777-200F Freighter'}}",B772
783,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 787-3'}}",B783
788,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 787-8'}}",B788
789,"{'Name': {'@LanguageCode': 'EN', '$': 'Boeing 787-9'}}",B789
A22,"{'Name': {'@LanguageCode': 'EN', '$': 'Antonov An-22'}}",AN22
A26,"{'Name': {'@LanguageCode': 'EN', '$': 'Antonov An-26'}}",AN26
